Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
5.31133604,416.3289078,259.9949036
5.672166824,519.9175111,268.6411133
5.216036797,390.9000158,272.5647888
5.659674168,516.127569,271.2580872
5.577940941,491.702972,265.6742859
5.604052067,499.436385,264.5786133
5.793007851,557.3723633,266.1636047
5.306049824,414.8981788,257.9494934
5.584629059,493.6776521,253.4806976
5.523228168,475.7067828,258.7237854
5.724115849,535.841397,251.8509979
5.934198856,603.0140765,265.5046997
6.547413826,824.6625136,274.2329102
6.199746132,693.4726411,266.7331848
6.505383015,808.0981385,266.7604065
6.634116173,859.4590208,270.4931946
6.378912926,759.4345366,266.5932922
6.446652889,785.2810099,265.5718079
6.415082932,773.1728635,261.1586914
6.437530994,781.7712157,257.5602112
6.220024109,700.7646999,255.9264984
6.89802599,970.7366269,250.0128937
7.60971117,1315.048928,255.9857025
7.288355827,1151.265744,255.4445953
7.943101883,1497.583724,256.4074097
8.376161575,1752.199662,252.4125977
8.23695755,1668.470707,247.9794006
7.879590988,1461.815791,238.6096039
7.101376057,1062.285034,245.0955963
6.955307007,995.9958546,245.410202
7.098298073,1060.859712,235.2279053
6.953630924,995.2509608,242.8726959
7.249577999,1132.416861,244.8356934
7.294691086,1154.365305,242.4815979
7.376369953,1194.843099,247.9772034
7.448554039,1231.430706,249.6829987
7.23925209,1127.433206,248.401001
7.329211235,1171.355044,244.6217041
7.139705181,1080.139085,244.6318054
7.474228859,1244.633534,245.7859955
7.033174038,1030.992686,248.6522064
6.886455059,965.6833344,244.6116943
6.887821198,966.2791049,235.8482971
7.216432095,1116.471899,232.8426971
7.068597794,1047.170231,229.933197
6.938295841,988.4519407,230.1367035
6.536687851,820.4166586,234.9338074
6.180624962,686.6369422,232.8379059
5.816825867,564.9276595,240.3287964
5.450150967,454.7735871,238.126297
5.81814909,565.3490932,235.800293
6.130272865,668.8235693,224.9586945
6.347077847,747.4606734,216.803894
6.347436905,747.5951091,205.7852936
6.194368839,691.5463343,199.8484955
4.977198124,330.4176304,207.9978027
5.959111214,611.2838365,210.954895
6.21137619,697.6494744,215.6940002
6.111453056,662.235163,220.8426056
6.456322193,789.0114224,237.0653076
6.666657925,872.7396259,235.6674957
6.16287899,680.3278917,229.3296967
6.013167858,628.4425608,234.9006042
5.561203003,486.7795676,230.4228058
4.960731983,326.4110254,229.5375061
4.60387516,244.3162442,231.7984924
4.554533958,233.6327805,234.1056061
4.26362896,173.5736631,228.7767029
3.894139051,108.5712211,227.9389954
4.038761139,130.2299896,224.4649963
4.505650997,223.1967841,224.9505005
4.543397903,231.2425073,229.127594
4.323760986,185.5984796,227.0399933
3.634437084,68.5028198,230.3146057
3.705512047,78.39616535,233.9532928
3.253968,29.28695563,233.0659027
3.775136948,88.87136533,227.7534943
4.693500996,264.1192574,229.8966064
5.002939224,336.7219982,235.2794952
5.364749908,430.921089,235.5852966
5.016181946,339.9849402,229.9429016
5.970407963,615.0556308,235.6952972
6.655520916,868.1808449,241.4573975
6.600903988,846.0294095,242.7821045
5.981378078,618.7314427,234.9844055
7.424593925,1219.199787,235.1472931
8.186451912,1638.508909,238.4790955
8.27493,1691.147039,237.0332031
8.449202538,1796.76309,238.3323975
8.575974464,1875.047197,235.6414032
8.282259941,1695.538777,236.4613953
8.734552383,1974.4758,234.3547974
8.764103889,1993.170712,231.0016022
9.669431686,2568.827129,227.6000977
10.14109039,2876.753616,227.7315979
10.77241993,3186.029883,225.2763977
10.64752007,3133.259224,224.680603
9.982661247,2781.274041,225.5195007
9.874385834,2711.492458,227.2738037
9.785479546,2651.341009,229.2554932
9.614232063,2527.945451,230.7368927
9.618504524,2531.14794,229.490799
9.098683357,2207.79282,223.960907
8.677425385,1938.478601,219.7937012
8.774898529,2000.011716,219.0449066
8.689981461,1946.373955,215.3352051
8.631073952,1909.416256,216.2799988
8.614569664,1899.100734,214.5290985
9.21884346,2285.917032,212.1799011
10.04951954,2822.50949,210.3085938
10.31871033,2974.866796,210.5881042
10.76675987,3183.72246,207.4813995
10.55825043,3093.110672,208.5518951
10.25072002,2938.394607,208.0106964
10.46477032,3048.823833,205.7528992
11.39078045,3393.645541,200.6542969
11.56554031,3437.597135,198.1242981
11.2802496,3362.668742,198.5381927
11.33677959,3378.826271,200.4904022
11.80463982,3488.248491,199.2469025
11.3635397,3386.244486,199.8054962
11.63259029,3452.881108,198.2677002
11.44476032,3407.867876,195.6320038
11.27190018,3360.225775,196.6611023
11.05900955,3292.880925,196.5158997
12.10377979,3537.173706,198.2570038
12.92813969,3597.469467,201.5825958
13.31941986,3600,201.9421997
13.12152004,3600,203.5077972
13.23544979,3600,202.6929932
13.23589993,3600,202.9362946
13.02956009,3600,201.2539063
12.96393967,3597.794635,201.3408966
12.90295029,3597.13106,200.9795074
12.76634026,3593.704942,200.9960022
12.89834976,3597.059449,200.5142059
12.74211025,3592.814313,202.8952942
12.31826019,3562.990095,202.841095
12.41880989,3572.556143,202.4118042
